WALIS Strat ID,Is this datapoint public?,Chronostratigraphy ID,Reference(s),Description for chronostratigraphic constraint,Unit thickness (m),Age is Older/Equal/Younger than,Marine Isotopic Stage,Comments/details on MIS designation,Upper Age (ka),Lower Age (ka),Notes on age determination,Is this an official stratigraphic designation?,Has duration estimated in years?,Duration (yrs),Duration uncertainty (yrs),Is a subzone of a parent Chronostratigraphy entry?,Parent record (WALIS Strat ID),Record created by,Record updated by,Last Update
62,1,Otaki Formation,"Fleming 1972
 Oliver, 1948
 Te Punga 1962
 Ryan et al., 2020","Marine gravels and sands, beach and dune sands, and lignites. There is no type section. The formation is subdivided into two informal units, Otaki beach (marine sands) and Otake dune sands. The formation is also referred to as the Otaki Sandstone. ",,Equal to,MIS 5e,"The marine units were designated the Otaki Terrace by Palmer et al 1988 on the basis that they could trace the terrace surface from Otaki near continuously to the Whanganui Sequence, where it was correlated to the Tokomaru Terrace.  The seaward margin of the terrace has at least two more narrow treads ""preserved a few km north of Otaki"", possibly MIS 5c and 5a.

The early Holocene highstand eroded a marine cliff into the seaward extent of the Otaki Formation. Sediments and wood fragments underlying the Holocene terrace surface and dune sands onlapping the marine cliff were analyzed with radiocarbon and OSL to provide an age to the younger terrace and support for the MIS 5 age of the Otaki Formation.",140.0,120.0,Palmer et al 1988 refer to Pillans 1985 (not available for this review) for MIS 5e extent. ,,,,,,,Deirdre Ryan,Deirdre Ryan,2020-05-13 14:49:42
10,1,P. latus or Senegalese fauna (Mediterranean),"Benjamin et al., 2017
 Gignoux, 1913
 Taviani, 2014
 Zazo et al., 2013
 Cerrone et al., 2021","In the Mediterranean, the key fossil indicator for MIS 5e found in palaeo beach deposits is the gastropod currently named as Persististrombus latus (Taviani, 2014), but generally described in the literature with its former name, Strombus bubonius (e.g., Gignoux, 1913). This gastropod is the most conspicuous specimen of the Senegalese fauna, which indicates a relatively warm coastal and littoral environment. Strombus-bearing terraces are mainly attributed to MIS 5e, although they also occur in terraces assigned to MIS 7 in the western Mediterranean (Zazo et al., 2013). Due to this ongoing discussion, strombus-bearing deposits are assigned a general MIS 5 age.",N/A,Equal to,MIS 5,,,,"Conservatively, the age is set to general MIS 5. ",No,,,,,,Alessio Rovere,Alessio Rovere,2020-03-05 04:16:40
11,1,Port MacDonnell Beach conglomerate,"Blakemore et al., 2014
 Ryan et al., 2020",The conglomerate is dominated by flint cobbles and shell fragments within a well-cemented calcite matrix. The surface of the conglomerate is pitted and a 2 cm thick calcrete within the conglomerate indicates subaerial exposure. The conglomerate unconformably overlies the Oligo-Miocene Gambier Limestone and occurs beneath highly eroded aeolianite of late Pleistocene Bridgewater Formation. The aeolianite is constrained to MIS 3 via OSL analysis in this research.,less than 1.0 m,Equal to,MIS 5c,,118.0,86.0,"AAR calibrated numerical age
OSL analysis of overlying aeolianite.",No,,,,,,Deirdre Ryan,Deirdre Ryan,2020-02-03 05:35:14
129,1,Punta Banda MIS Second Terrace ,"Muhs et al., 1988
 Thompson and Creveling, 2021",The adjacent upper and lower terraces are radiometrically dated to MIS 5a and 5e. Stratigraphic relationships are used to infer a terrace age of MIS 5c.,,Equal to ,MIS 5c,5c,98.0,90.0,,No,No,,,,,Jessica Creveling and Schmitty Thompson,,2020-11-19 10:49:57
46,1,RA08-001,"Rabassa et al., 2008
 Gowan et al., 2021","Wisconsin aged Moat Glaciation glacial till (MIS 2 or possibly MIS 4), overlying Pleistocene beach deposits. The Wisconsin aged glacial till is a widespread unit on Isla Navarino and is unlikely to represent an older glaciation. This unit cannot be Holocene, since the Holocene maximum extent did not extend to the coastal edge of Isla Navario.",,Older than,MIS 2,MIS 2 or MIS 4 aged glacial till,70.0,10.0,Glacial till sediments from the last or second last (MIS 2 or MIS 4) glaciation.,No,No,,,No,,Evan Gowan,,2020-03-12 02:37:38
59,1,RPL Unit 10,"De Santis et al., 2010
 Cerrone et al., 2021",Shallow marine (infrallitoral) deposits with C. caespitosa corals layer in clayey sediments,13,Equal to,MIS 5e,,,,,No,No,,,No,,Ciro Cerrone,Ciro Cerrone,2020-04-28 09:57:53
40,1,Rapanui Marine Terrace,"Dickson et al., 1974
 Fleming, 1953
 Pillans 2017
 Pillans and Kohn 1981
 Pillans, 1983
 Ryan et al., 2020","This terrace is within the Quaternary marine terrace sequence of the Whanganui Basin. The terrace consists of a basal wave-cut platform overlain by shallow marine sediments, grading upwards into non-marine sediments, which include dunesand, loess, lignite, tephra, laharic, and fluvial deposits. ",,Equal to,MIS 5e,5e,,,"Constraint to the terrace sequence was made possible by fission-track ages for the Rangitawa Tephra (~400 ka) found within the coverbeds of middle Pleistocene terraces, the youngest being the Ararata Terrace. AAR analysis and calibration of fossil wood samples indicated minimum ages of 190 and 110 ka for the Ngarino and Rapanui Terraces, respectively. The Rapanui strandline is correlated MIS 5e (~120 ka). The age of other terraces was determined by their physical relationship to these terraces. 
",,,,,,45,Deirdre Ryan,Deirdre Ryan,2020-06-19 21:43:19
96,1,Riss-Wurm Interglacial Period,"Yonekura, 1968
 Tam and Yokoyama, 2021",Designation based on climate change indicators between the Riss and Wurm Glaciation,,Equal to,MIS 5e,Older historical designation for MIS 5e,,,,Yes,,,,,,Evan Tam,,2020-10-07 08:25:42
130,1,San Miguel Island 5a Terrace,"Muhs et al., 2014a
 Thompson and Creveling, 2021",The stratigraphic position of this terrace is used to assign it to MIS 5a.,,Equal to ,MIS 5a,5a,86.0,78.0,,No,No,,,,,Jessica Creveling and Schmitty Thompson,,2020-11-19 10:49:57
43,1,Sector I-Bahia Brazil,"Bernat et al., 1983
 Bittencourt et al., 1979
 Martin et al., 1979
 Martin et al., 1982
 Rubio-Sandoval et al., 2021","According to the authors, in the state of Bahia there are relic deposits from the last two transgressive episodes of the Quaternary, recorded above present mean sea level. The deposits were divided into sectors (Sector I - Sector VI). Among these, sector I represents the oldest deposits and is associated with the Last Interglacial transgression. In general, these are arenaceous sediments, white on the surface and black or brownish in the interior. The littoral origin of these deposits is evidenced by the presence of Callianassa fossil burrows. The first datings obtained for the Sector I deposits were obtained by Martin et al., 1979, and are infinite radiocarbon ages. Successively, Bernat et al., 1983 obtained five alpha-counting U-Series ages on a reef, that is described by Martin et al., 1982 as correlated with sandy deposits of the Sector I - Bahia chronostratigraphic unit. The ages are consistent with a MIS 5e age of the reef, which is also assumed to be the age of the Bahia - Sector I deposits.",,Equal to,MIS 5e,,,,,No,No,,,No,,Karla Zurisadai Rubio Sandoval ,WALIS Admin,2020-10-24 08:44:36
65,1,Sep 4,"Santangelo et al., 2010
 Cerrone et al., 2021",Tefra layer ,,Equal to,MIS 5c,,0.0,0.0,"Tephra layer correlated with the X-5 marker layer, 40Ar/39Ar dated to 105 ka (Allen et alii, 1999).",No,No,,,No,,Ciro Cerrone,Ciro Cerrone,2021-06-01 08:26:43
79,1,Shavey Zion - Bioclastic sandstone,"Sivan et al., 1999
 Sivan et al., 2016
 Sivan and Galili, 2020","Two of the Yasaf M. subunits found in the type section in Rosh Hanikra to the north are eaposedin Shavey Zion: the Strombus (SB) bearing unit overlying by the biological sandstone.  The age is based on the sedimentological and palaeontological characteristic, field relations and correlation with the Type section of Rosh Hanikra. ",4.3,Equal to,MIS 5e,"The age is based on the sedimentological and palaeontological characteristic, field relations and correlation with the Type section of Rosh Hanikra. ",,,,Yes,,,,,,Dorit Sivan and Ehud Galili,Dorit Sivan and Ehud Galili,2020-10-05 08:11:44
78,1,Shavey Zion - SB,"Sivan et al., 1999
 Sivan et al., 2016
 Sivan and Galili, 2020","Two of the Yasaf M. subunits found in the type section in Rosh Hanikra to the north are eaposedin Shavey Zion: the Strombus (SB) bearing unit overlying by the biological sandstone.  The SB unit is poorly sorted, coarse gravel unit composed of subrounded-rounded cobbles and few bolders, fine silt quartz and bioclasts including the diagnostic Strombus bubonius LMK (Persististrombus latus or Lentigo latus).",0.76,Equal to,MIS 5e,"The age is based on the sedimentological and palaeontological characteristic, field relations and correlation with the Type section of Rosh Hanikra. ",,,,Yes,,,,,,Dorit Sivan and Ehud Galili,Dorit Sivan and Ehud Galili,2020-10-05 08:11:34
91,1,Shimosueyoshi Loam,"Toma, 1974
 Tam and Yokoyama, 2021",Fission Track dated air fallen ash layers,,Equal to,MIS 5e,,130.0,120.0,Dated by Fission Track,Yes,No,,,,,Evan Tam,,2020-10-07 03:35:03
93,1,Shimosueyoshi Transgression,"Machida and Suzuki, 1971
 Tam and Yokoyama, 2021","Interglacial Transgression, associated with the Shimosueyoshi Loam",,Equal to,MIS 5e,,130.0,120.0,,Yes,Yes,10000,,,,Evan Tam,,2020-10-07 06:33:48
111,1,South Tokunoshima U/Th Dates,"Ikeya and Ohmura, 1983
 Tam and Yokoyama, 2021","U/Th dates for South Tokunoshima, on Terrace defining Corals",,Equal to,MIS 5,,135.0,115.0,125 +- 10 Ka,No,,,,,,Evan Tam,,2020-10-15 04:13:14
97,1,Stratigraphic Correlation (MIS 5e),"Tam and Yokoyama, 2021","Based on the sea level highstands correlated to MIS stages and localized terrace series, terraces have been assigned to MIS 5e",,Equal to,MIS 5e,,,,,No,,,,,,Evan Tam,,2020-10-07 11:30:11
115,1,Subsintema di Villa Verucchio (AES7) ,"Cerrone et al., 2021","This stratigraphic unit corresponds to alluvial, lagoon and coastal deposits formed during the penultimate marine transgression recorded in the subsoil of Region Emilia Romagna. 
Some geochronological data are available for constraining the age of the base to MIS 5e. The top of the unit include the alluvial deposits of LGM and Lateglacial.",,Younger than,MIS 6,"The official unit (synthema) include a rather long period almost coinciding with Upper Pleistocene. So, only the basal part is to be considered for the MIS 5e deposits. In several cores the distinction between deposits belonging to MIS 5e and other warm substages of MIS 5 (i.e. MIS 5c and MIS 5a) is not clear.",132.0,14.0,Some U/Th dates are available for the basal portion of the Villa Verucchio Synthem (AES7) which is characterized by coastal and marine deposits.,Yes,No,,,No,,Alessandro Fontana,,2020-10-27 07:13:45
69,1,Sylvestra seminis,"Barra et al., 1991
 Cerrone et al., 2021","Foreshore deposits.
The presence of Sylvestra seminis (Bonaduce, Masoli & Pugliese, 1976) and Falsocytere maccagnoi are interpretated as marker of the Last Interglacial",,Equal to,MIS 5e,,,,,No,No,,,No,,Ciro Cerrone,Ciro Cerrone,2020-06-26 20:29:06
134,1,Tephra in aeolian sand,"Bini et al., 2020QSR
 Cerrone et al., 2021","Tephra correlated with X-6 tephra, which has been 40Ar/39Ar dated to 109.1 ± 0.8 ka (Sulmona) and 108.9 ± 1.8 ka (Tyrrhenian Sea)",,Equal to,MIS 5e,,0.0,0.0,,No,No,,,No,,Ciro Cerrone,Ciro Cerrone,2020-12-22 17:15:19
125,1,Tewai Section 5a Terrace,"Chappell and Shackleton, 1986
 Thompson and Creveling, 2021","These terrace ages are determined through use of an orbitally tuned timescale, and are assigned in a table in the reporting paper.",,Equal to ,MIS 5a,5a,86.0,78.0,,No ,No ,,,,,Jessica Creveling and Schmitty Thompson,,2020-11-19 10:49:57
126,1,Tewai Section 5c Terrace,"Chappell and Shackleton, 1986
 Thompson and Creveling, 2021","These terrace ages are determined through use of an orbitally tuned timescale, and are assigned in a table in the reporting paper.",,Equal to ,MIS 5c,5c,98.0,90.0,,No ,No ,,,,,Jessica Creveling and Schmitty Thompson,,2020-11-19 10:49:57
9,1,Tipaza Eemian Terrace,"Authemayou et al., 2017
 Stearns and Thurber, 1965
 Cerrone et al., 2021","Consolidated beach deposit containing Strombus latus (ex bubonius), that in the Mediterranean is often associated with MIS 5e deposits. Two U/Th ages on S. latus shells (elevations lower than 10m) are reported between Tipaza (140±10 ka) and Ain Tagourait (125±10 ka) by Stearns and Thurber (1965). Athemayou et al. (2017) correlate these deposits to the Tipaza Eemian Terrace.",N/A,Equal to,MIS 5,MIS 5,168.0,98.0,The age was calculated using the upper and lower age limits from Stearns and Thurber (1995) U-series ages,No,No,,,No,,Alessio Rovere,WALIS Admin,2020-04-28 11:55:17
117,1,Tyrrhenian Adriatic (Eemian pollen unit),"Amorosi et al., 2004
 Campo et al., 2020
 Fontana et al., 2010
 Fontana et al., 2012
 Massari et al., 2004
 Mullenders et al., 1996
 Cerrone et al., 2021","The unit corresponds to a coastal wedge formed along the Adriatic in the area of the Po Plain and Venetian-Friulian Plain during the transgression of the last interglacial (MIS 5e), when the coastline and coastal plain reached an inner position respect the Holocene one. The thickness displays a large variability with a maximum value of 40 m. Towards the mainland the unit onlaps over the former alluvial plain.
From the sea to the mainland, the unit consits of inner shelf muds, sandy sediments of shoreface and beach facies, lagoonal and swamp facies.",,Equal to,MIS 5e,"The age is mainly constrained by pollen analyses, but some ESR dates are available (Ferranti et al., 2006).",132.0,116.0,,No,No,,,Yes,97,Alessandro Fontana,,2020-10-30 08:12:32
66,1,Unit D - Cope Basin MIS 5e,"Bardají et al., 2015
 Cerrone et al., 2021","Grey conglomerate of coastal origin, characterized by dominating presence of rounded quartz pebbles, cobbles and boulders. The deposit contains Ostrea, Glycymeris and few individuals of S. bubonius, Thais haemastoma and Conus sp.",,Equal to,MIS 5,"Designated in the paper as MIS 5e, but no absolute age constraints are available. Here assigned to general MIS 5",,,,No,No,,,No,,Alessio Rovere,,2020-06-22 07:28:36
20,1,"Unit H, Gebbies Valley Borehole (G2)","Shulmeister et al, 1999
 Ryan et al., 2020","Dark olive grey silt with localised woody organics and infrequent marine/estuarine shell hash.The shell hash, where preserved, is composed of shell with marine or estuarine origin. A sample at -26.8 m AMSL is dominated by a single marine species, the diatom Melosira westii (90%). Together with the underlying Unit G, this unit records a transgressive sequence. The overlying Unit I, described as massive, fine silty sands, locally laminated, from -24.67 to 22.74 m AMSL, is interpreted to represent a sea-level fall and correlated to MIS 5b.  ",9.43,Equal to,MIS 5c,5c,,,"Two TL ages and a minimum radiocarbon age were sampled and analyzed from within the unit. The age was further constrained by TL and radiocarbon analyses for stratigraphic units above and below. TL results suggest either MIS 5e or 5c correlation. The authors argue, ""The coarser texture of Unit H and the absence of interglacial pollen and dinoflagellates, which should be preserved in deeper water deposits, all tend to suggest a MIS 5c rather than a MIS 5e age for these sediments.""

Original publication provides additional unit descriptions and thermoluminescence ages. Only the details of those directly associated with the units (H, J, K) used to constrain MIS 5 sea level have been entered into WALIS.",No,,,,,,Deirdre Ryan,WALIS Admin,2020-01-27 17:04:40
21,1,"Unit J, Gebbies Valley Borehole (G2)","Shulmeister et al, 1999
 Ryan et al., 2020","Gray to olive gray fine sand and silt with extensive shell hash. Some woody organics also present. Dominated by marine diatoms. Interpreted as a beach or storm deposit, at or close to sea level (w/in 5 m), based upon foraminiferal (Ammonia beccari) and macrofossil (Austrovenus sp.) evidence .",0.59,Equal to,MIS 5a,5a,,,"One TL ages and a minimum radiocarbon age were sampled and analyzed from within the unit. The age was further constrained by TL and radiocarbon analyses for stratigraphic units above and below. 



Original publication provides additional unit descriptions and thermoluminescence ages. Only the details of those directly associated with the units (H, J, K) used to constrain MIS 5 sea level have been entered into WALIS.



Additional age justification from the publication (page 119): 

""The juxtaposition of this sand between a coarse silty sand below and a fine silty clay above allows for this unit to either represent a continued shallowing form Unit I or more probably, a new transgressive deposit under the fine aqueous deposits of Unit K. This unit was beyond the limit of radiocarbon dating and the TL age of 154 +/- 21 ka is both older and less well resolved than the ages above and below it. The sediments of Unit J may be the products of a storm event, or even a tsunami, and if so the light-sensitive TL could have been incompletely zeroed. This age is not statistically different from those around it, however. We suggest correlation with the rising limb of MIS 5a for this unit.""",No,,,,,,Deirdre Ryan,WALIS Admin,2020-01-27 17:04:49
22,1,"Unit K, Gebbies Valley Borehole (G2)","Shulmeister et al, 1999
 Ryan et al., 2020","Gray silty clay, locally extensively laminated. Fibrous and woody organics and tubular structures common in basal 3 m. Mottling present in top ~0.20 m. In association with underlying units, this unit indicates a transgressive sequence. Diatoms indicate transition from marine embayment to lake or lagoon environment at -18.5 m AMSL. Phytoliths indicate probable interglacial conditions. Marine diatoms, of inferred coastal provenance, dominate. The predominant species is Melosira westii, with the exception at -21.12 m AMSL, where the mainly marine assemblage is composed of Diploneis parma and Thalassiosira eccentrica with some brackish and freshwater taxa. At -18.5 m AMSL there is an abrupt change to freshwater assemblage dominated by small Fragilaria species. Freshwater taxa dominant through to -15.50 m AMSL except for one reversal at -18.06 m AMSL. Above -15.50 m AMSL diatom preservation ceases until -7 m AMSL. The upper contact appears unconformable as mottling and pedogenesis are present in the top of the grey clays at -14.12 m AMSL. An unknown thickness of material may have been removed. ",8.03,Equal to,MIS 5a,5a,,,"Two TL ages and a minimum radiocarbon age were sampled and analyzed from within the unit. The age was further constrained by TL and radiocarbon analyses for stratigraphic units above and below. The TL ages suggest compatibility with either MIS 5c or 5a; on stratigraphic grounds the unit is correlated to MIS 5a.



Original publication provides additional unit descriptions and thermoluminescence ages. Only the details of those directly associated with the units (H, J, K) used to constrain MIS 5 sea level have been entered into WALIS.

",No,,,,,,Deirdre Ryan,WALIS Admin,2020-01-27 17:05:00
68,1,Unit Senzielli,"Antonioli et al., 2009
 Fontana et al., 2010
 Fontana et al., 2012
 Cerrone et al., 2021","The characteristics and the age of the lagoon deposits, which is referred to the unit of Senzielli, are described in Fontana et al., 2012 (pag. 86-91). It is an informal unit of the Italian Geological Survey",In the coring site the thickness of the unit is 5.1 m,Equal to,MIS 5e,"The age of the unit of Senzielli was determined throgh pollen analyses that are described in Fontana et al., 2012 (pag. 86-91)",130.0,116.0,"In the coring site the marine transgression of MIS 5e arrived at the peak of the transgression, as the place is located in the very nothern part of Adriatic Sea.",No,No,,,No,,Alessandro Fontana,Alessandro Fontana,2020-10-24 07:10:44
76,1,Vermetidae domes covered by algal crust on to,"Sivan et al., 2016
 Sivan and Galili, 2020","Vermetidae domes encrusting by calcareous algae. The mound shape contains poorly sorted bioclastic fragments: bivalve and red algae and fine squartz grains. The Vermetidae reef domes  are overlain by algal crust. In places where the mounds are missing the crust overlyies the Strombus unit. This subunit overlies the SB unit and is ovelyies by the upper bioclastic sandstone. All the three construct the Yasaf Mb, attributed to the MIS5.5. ",Max. 1.70m. The unit elevation range between +1.08 to +2.78m. ,Equal to,MIS 5e,"In the frame of the yasaf Mb, attributed to the MIS5.5, the domes subunit is younger than the SB unit.",,,"The whole Yasaf unit age is constrains by the OSL age of the top aeolianite Regba Mb. (dated to 215±15ka) and alteration ages of the 9 samples from 3 different Strombus fossils found in-situ in the Strombus unit, which underlying the domes mounds. The domes are mid subunit in the whole sequence attributed to the MIS5.5. ",Yes,,,,,,Dorit Sivan and Ehud Galili,Dorit Sivan and Ehud Galili,2020-10-05 08:10:49
17,1,Waiau A Formation,"Chappell, 1970
 Ryan et al., 2020","Waiau A is correlated to the Shelly Beach Formation (Brothers, 1954) and Brunswick Terrace (Fleming, 1953) based upon altitude and the interglacial preceding the Last Interglacial; at the time referred to the Terangian (Suggate, 1965).
",,Equal to,MIS 5,MIS 5,,,"Later, Chappell (1975) correlates Waiau A to the Ngarino Terrace and places deposition at the '120,000' year sea-level. Later work by Pillans (1983; 1990) constrained deposition to MIS 7. 
",Yes,,,,,,Deirdre Ryan,WALIS Admin,2020-01-27 17:04:10
16,1,Waiau B Formation,"Chappell, 1970
 Ryan et al., 2020","In this region Chappell found insufficient evidence to associate Waiau B with either the local 70 ft (21.3 m) or 35 ft (10.6 m) terraces, respectively Ngarino Terrace or Rapanui Terrace (Fleming, 1953). However, following Brothers (1954) example of correlating the Waioneke transgression (post Shelly Beach transgression - see Waiau A Formation) in the Kaipara region to the 70 ft surface there, Chappell correlates Waiau B to the 70 ft (21.3 m) terrace and the Last Interglacial.  ",23,Equal to,MIS 5,MIS 5,,,"Later, Chappell (1975) correlates Waiau B to the Rapanui Terrace and places deposition post '120,000' year sea-level, about 105,000 to 107,000 years. Later work by Pillans (1983; 1990) constrained deposition to MIS 5e. ",Yes,,,,,,Deirdre Ryan,WALIS Admin,2020-01-27 17:03:53
70,1,West Baltic Sea Cyprina Clay E2b/E3a-E5/E6a ,"Buylaert et al., 2011
 Funder et al., 2002
 Houmark-Nielsen, 1987
 Konradi, 1976
 Kristensen et al., 2000
 Larsen et al., 2009
 Madsen et al., 1908
 Seidenkranz, 1993
 Winn & Erlenkeuser, 1995
 Winn & Erlenkeuser, 1998","Based on phrasings in Funder et al. (2002): The Cyprina clay, named after Cyprina (now Arctica) islandica is a shell bearing marine clay that represents the last interglacial (Eemian) marine inundation of the west of the Baltic Sea - just south of the main connection with the North Sea (last interglacial representations of the present Kattegat and OreSund (Sont) and Stoerebelt straits), with ramifications for the salinity and currents/oxic water state (Funder et al., 2002).  

The clay is exposed in very much displaced position coastal cliffs in SE Denmark (notably: at Ristige Klint, Madsen et al. 1908:3-43,47-65, Kristensen et al. 2000; at Aero: Madsen et al. 1908:65-77) and N Germany with southern incursions near Lubeck and as far east as Ruegen and Usedom (Madsen et al., 1908; Konradi, 1976; Houmark-Nielsen, 1987; Winn and Erlenkeuser, 1998; Kubisch and Schoenfeld, 1985; Hoefle et al., 1985; Mueller et al., 1995; Ruehberg et al., 1995 - op. cit. Funder et al. 2002).

The lower contact is usually a drowning surface overlying limnic sand or clay (Baltic lake phases before the Eemian Transgression; 'shiny clay' and 'freshwater sand' in Kristensen et al., 2000). The Cyprina clay represents deposition in relative deeper waters in this part of the baltic basin. It has characteristic marine mollusc fauna, with the species Paphia aurea senescens (Tapes senescens in older literature; part of littoral Lusitanian fauna) in the middle part. This is the regionally Eemian-typical species in this clay (Jessen & Milthers, 1928; Miller & Mangerud, 1985; Kristensen et al., 2000; Funder et al., 2002). At site Gammelmarke, the clay grades into shoreface sand that is rich in shells, but usually the top is an erosive contact with glacial and/or glaciofluvial sediments (of Last Glacial age). In shallower sands the Eemian-typical species are Bittium reticulatum and Venerupis senescens (Miller & Mangerud, 1985; Funder et al. 2002).

The brackish onset of Cyprina clay sedimentation marks the establishment of a first tidal connection through the deep Alnarp-Esrum palaeovalley in the OreSund (Funder et al. 2002) and this times relatively early (just 300 years into the Eemian; within Zagwijn PAZ E2b according to Kristensen et al., 2000). Subsequent relatively more saline stages of the Cyprina clay (from halfway PAZ E3a onwards, some 350 varve-years later in nearby terrestrial sites; Kristensen et al. 2000:110, their local zone RKFO4) mark continuation of sea-level rise and establishment of full marine connection between North Sea and Baltic Sea basin through that palaeovalley primarily. North of the OreSund, in the Kattegat, Seidenkranz (1993) describes Late Saalian ice-marginal marine deposition directly overlying lodgement tills, and considerable warming and deepening of waters in the first part of the Eemian (her Zone E), which would correlate with this initial phase of the Cyprina clay deposition. 

Larsen et al. (2009) further review the marine deposits for mainland sites in North Denmark (Vendsyssel) where the marine sequence is much thicker (>70 m) and regional molluscan and foraminiferal zonations have been established. Over there the marine deposition stretches Latest Saalian ( Nuculana pernula N. minuta Molluscan Zone; Foraminiferal zone N4/AV-F2), Eemian ( Lower Turritella terebra Moluscan Zone, Foraminiferal zone N3/AV-F3), Early Weichselian ( Upper Turritella terebra Molluscan Zone; foraminiferal zone continued) and Middle Weichselian intervals ( Abra nitida and  Portlandia arctica Molluscan Zones; Foraminiferal zone N2/AV-F2); with glaciogenic separating and interrupting intervals). Their Lower Turritella terebra Zone correlates chronostratigraphically with the Cyprina clay. 

As the sea-level rose further and the water deepened, the salinity and temperature signals of the foraminiferal composition changes (subarctic/cold bottom water species replaced by boreal/temperate water species; Kristensen et al., 2000:110, their local zone RKFO5) and further indications of current change (Kristensen et al., 2000:113). This occurs some 1950 further (correlated) varve-years later (ibid., this is c. 2200 years after the onset brackish phase and 2500 years after the start of the Eemian; this is halfway Zagwijn PAZ E4b). At that stage a secondary marine connection across Schleswig may have established (Funder et al., 2002), as is suspected from geological mapping the dented inland extent of the Eemian high stand of the German Bight on the North Sea side (notably at site Schnittlohn, N Germany; Menke 1985; Knudsen 1985; Miller & Mangerud 1985), but the connection is not fully traced or proven (Kosack and Lange, 1985 and Schulz et al., 2001 - op cit. Konradi et al., 2005). Streif (2004) for Schleswig (=Danish-German border zone) indicates the shallowest occurence of Eemian marine deposits at -5 m NN on the North Sea side. In the deeper waters of the Kattegat, Seidenkranz (1993) reports foraminiferal change (her Zone F) which would coincide with this phase of the Cyprina clay.

The truncation of the top of the Cyprina clays, makes that a regressive signal in the fill of the Wisla (Weichsel) palaeovalley (incursed by the Baltic Sea in the Eemian), is more representative to date the end of marine high stand conditions in the West Baltic, than records obtained on the unit itself. The Wisla regressive record starting towards the end of PAZ E5 is known from site Nowiny in Poland (Makowska, 1986 op cit. Funder et al., 2002). In deeper parts of the Baltic sea basin, periglacial marine conditions prevail into the Early Weichselian (e.g. site Plasumi, Kalnina, 2001 op cit. Funder et al. 2002). Houmark-Nielsen (1987: 167) cites the sequence at North Danish site Skaerumhede I (Kundsen & Lykke-Andersen, 1982) as Danish stratigraphic evidence for return from deeper 'Borea-Lusitanic' to shallower 'Boreal' conditions during ""a late Eemian/Early Weichselian regression"", recorded in deep waters of the Kattegat (see also Larsen et al., 2009). Seidenkranz (1993: her Zone G), further south but still in the Kattegat deep waters also record a foraminiferal change back to boreal compositions. Winn and Erlenkeuser (1995) record a similar change in shallower North Sea waters (site Dagebuell; above -15 m MSL; Schleswig coast).
",2-4,Equal to,MIS 5e,"The marine unit occurs sandwiched between glacial and glacio-fluvial deposits from the last glacial (Weichselian) and the penultimate glacial (Saalian). In most locations it has been displaced from its original position by ice-pushing in the last glacial, causing it to outcrop in cliffs along the present Baltic Sea. It contains forams (zonations: Konradi, 1976; Funder et al. 2002) and could be used to obtain a regional marine oxygen isotope signal from. Winn & Erlenkeuser (1998) present results for several sites. For the Kattegat sound, where marine deposition began in the Late Saalian (Seidenkranz, 1993), and for a core in the German Bight (Winn & Erlenkeuser, 1995, 1998) isotopic studies are available, but this is outside the Cyprina clay distribution area.",128.0,116.0,"Note that the unit in many places is erosively truncated and actual duration represented may be smaller than that for an ideal locality that has not suffered truncation. The upper age is for such hypothetical untructated locations where the deep water cyprina clay would be fully preserved. At site Ristige Klint, for example. the actually represented duration is reckoned to be some 3500 years (Kristensen et al. 2000: Fig. 6). Littoral sites along the Baltic Coast in North Germany are more compete in recording the high stand duration (Winn & Erlenkeuser, 1998: sites Krummland and Tuschenbek).

Relative age within the Last Interglacial based on palynological correlations (see entry North Sea 'Zagwijn' Eemian Pollenzones E1-E6; see Kristensen et al., 2000; Funder et al., 2002) of limnic deposits immediately underlying the clay and samples within the clay (the classic location being Stensigmose, Jessen & Milthers, 1928:178-179; Miller & Mangerud 1995; op. cit. Kristensen et al. 2000), to nearby terrestrial sites onshore in Jutland and Schleswick-Holstein (mainland Denmark and N Germany) and the Bispingen varved site at 180 km distance in Lower Saxony (N Germany). The absolute age (conservative range) and a duration constraint (Bisplingen varve counts) are taken over from the entries for PAZ E2b (first brackish conditions at site Ristinge Klint cf. Kristensen et al., 2000; Funder et al., 2002 - see main description), and  the PAZ E5/E6 break (cf. Funder et al., 2002:Table 2; as also suggested in Houmark-Nielsen, 1987: 167). The duration of the Cyprina clay from brackish onset to boreal regression is correlated to foraminiferal Zones E and F of Seidenkranz (1993), who attributes these c. 6000 years duration (these two estimates are regarded as internally consistent). 

Buylaert et al. (2011) present K-Feldspar IRSL and Quartz OSL luminescence dates from the Tapes Sand littoral-facies associated to the Cyprina clay. They report 119 +/- 6 ka resp. 114 +/- 7 ka as results.",Yes,Yes,6750,500,Yes,23,Kim Cohen,Kim Cohen,2022-04-16 11:31:44
